mjd,flux_uJy,flux_err_uJy,filter,mag_5sigma_limit
57404.516962,-11,146,o,17.42
57404.53657,305,137,o,17.93
57404.541159,191,164,o,16.24
57404.554423,-64,104,o,17.36
57404.580338,-66,88,o,17.53
57404.587238,-12,59,o,18.49
57405.524547,-8718454739,12898535778,o,-2.89
57405.535008,39,199,o,16.25
57405.543855,-150,115,o,18.12
57405.561249,20,71,o,17.52
57405.573774,-23,82,o,17.52
57405.592854,-202,60,o,18.5
57446.423532,268,191,o,16.34
57446.42767,-130,113,o,17.81
57447.4292,-231,97,o,17.95
57447.431192,14,135,o,16.82
57447.448695,-82,100,o,17.33
57447.465977,57,82,o,17.45
57453.407532,-16,25,c,19.06
57453.410964,-11,36,c,19.28
57453.424174,16,39,c,18.74
57453.440843,2,21,c,19.22
57453.458193,4,19,c,19.13
57457.401758,-20,47,c,18.63
57457.405717,-120,40,c,18.96
57457.419453,74,42,c,18.71
57457.437136,13,24,c,19.1
57461.384183,-18,27,c,18.96
57461.391494,6,93,c,18.11
57461.400745,-21,23,c,19.09
57461.417329,-22,26,c,18.99
57461.434376,-57,38,c,18.14
57465.374878,-129,50,o,18.2
57465.391396,-64,65,o,18.2
57465.407951,11,54,o,18.21
57465.424999,-68,62,o,18.14
57477.349149,-108,30,o,18.68
57477.365649,-72,36,o,18.68
57477.381701,-66,35,o,18.69
57536.256095,-35,58,o,18.41
57537.261178,-5,42,c,18.95
57863.356518,-17,25,c,18.38
57867.34572,-1125,3870,c,16.28
58117.536533,48,21,o,18.63
58117.548324,22,23,o,18.67
58117.5538,49,26,o,18.53
58117.567653,13,23,o,18.64
58119.528403,-154,61,o,17.76
58119.532067,-168,67,o,17.89
58119.538949,-2,59,o,17.86
58119.545839,-36,54,o,17.9
58121.527353,81,73,o,17.51
58121.538788,-8,73,o,17.57
58121.546559,0,71,o,17.58
58121.548384,8,69,o,17.59
58123.543282,-56,28,o,18.24
58123.547397,8,34,o,18.32
58123.559154,-96,61,o,18.1
58123.569933,22,37,o,18.11
58127.53056,-66,20,o,18.74
58127.543698,11,21,o,18.61
58127.551481,-33,26,o,18.49
58127.558349,-24,27,o,18.36
58129.536091,2654716241,7205658369,o,-2.84
58129.537004,-16630939159,8456409742,o,-2.8
58129.545861,-1,64,o,17.34
58129.551515,-55,278,o,16.42
58131.524399,-14,18,o,18.91
58131.534982,-91,25,o,18.53
58131.544207,-78,23,o,18.62
58131.54558,-26,25,o,18.67
58135.530388,-52,48,o,17.92
58135.544174,-91,28,o,18.48
58135.551501,-66,25,o,18.62
58135.557955,-55,23,o,18.7
58139.521987,-72,39,o,18.38
58139.531179,-30,27,o,18.71
58139.538567,-82,20,o,18.86
58139.55093,-120,24,o,18.86
58143.520015,-32975840087,15988286103,o,-3.62
58147.511273,-131,47,o,17.9
58147.519999,-107,41,o,17.97
58147.525983,-82,37,o,18.06
58147.539286,-103,38,o,18.08
58151.509888,-46,41,o,17.94
58151.518588,-26,50,o,17.95
58151.519962,16,44,o,17.97
58151.52271,-84,41,o,17.99
58153.499464,38,28,o,18.45
58153.508209,17,26,o,18.57
58153.517014,70,26,o,18.59
58153.526203,-22,32,o,18.34
58159.484577,-11,17,o,18.89
58159.492839,-39,18,o,18.82
58159.500645,-57,18,o,18.78
58159.508912,-28,17,o,18.85
58161.488665,38,12,c,19.47
58161.497794,28,13,c,19.46
58161.498707,37,12,c,19.45
58161.512452,49,12,c,19.42
58167.466108,-91,25,o,18.61
58167.478009,-64,21,o,18.72
58167.488543,-34,21,o,18.76
58167.493139,-71,23,o,18.68
58173.418497,-243,840,o,14.46
58173.419865,124,1198,o,14.31
58173.429375,-6569,6986,o,12.96
58173.442043,2591,2981,o,13.59
58181.412397,-92287040961,64185221281,o,-4.98
58181.427834,61952736858,59421014438,o,-5.25
58181.429201,362,8984,o,12.97
58183.405648,4,34,o,18.17
58183.40931,-3,26,o,18.29
58183.415291,20,27,o,18.29
58183.426285,-16,31,o,18.26
