bjd_tdb,flux_rel,flux_rel_err,exptime_s,filter
61026.276421802,0.55620493,0.02938917,1.0000044,g
61026.276433377,0.60731898,0.02982985,1.0000044,g
61026.276444951,0.60397311,0.0305086,1.0000044,g
61026.276456526,0.61781235,0.03057611,1.0000044,g
61026.276468101,0.60241571,0.03047222,1.0000044,g
61026.276479676,0.61792,0.03082834,1.0000044,g
61026.276491251,0.61834194,0.03088968,1.0000044,g
61026.276502826,0.64156626,0.03149114,1.0000044,g
61026.276514401,0.6359319,0.0305093,1.0000044,g
61026.276525975,0.60161681,0.03088761,1.0000044,g
61026.27653755,0.60981569,0.03205243,1.0000044,g
61026.276549125,0.64816471,0.03099704,1.0000044,g
61026.2765607,0.6403542,0.03120089,1.0000044,g
61026.276572275,0.74161146,0.0328642,1.0000044,g
61026.27658385,0.64054014,0.03155815,1.0000044,g
61026.276595425,0.62154191,0.03058382,1.0000044,g
61026.276607,0.71970672,0.03258737,1.0000044,g
61026.276618574,0.6903108,0.03178352,1.0000044,g
61026.276630149,0.71591185,0.03265705,1.0000044,g
61026.276641724,0.78623384,0.03351094,1.0000044,g
61026.276653299,0.70815296,0.03188409,1.0000044,g
61026.276664874,0.70109649,0.03274869,1.0000044,g
61026.276676449,0.77195673,0.03402371,1.0000044,g
61026.276688024,0.75476936,0.0343292,1.0000044,g
61026.276699598,0.7129391,0.03307805,1.0000044,g
61026.276711173,0.78587338,0.03471639,1.0000044,g
61026.276722748,0.72294383,0.03280994,1.0000044,g
61026.276734323,0.77220234,0.03385829,1.0000044,g
61026.276745898,0.78480183,0.03342479,1.0000044,g
61026.276757473,0.75104182,0.03326401,1.0000044,g
61026.276769048,0.79144314,0.03477373,1.0000044,g
61026.276780623,0.78845753,0.03441177,1.0000044,g
61026.276792197,0.86732164,0.03483057,1.0000044,g
61026.276803772,0.8448504,0.03501043,1.0000044,g
61026.276815347,0.79230222,0.03463678,1.0000044,g
61026.276826922,0.85763221,0.03521794,1.0000044,g
61026.276838497,0.8179027,0.03462143,1.0000044,g
61026.276850072,0.87555323,0.03593117,1.0000044,g
61026.276861647,0.85986901,0.03529281,1.0000044,g
61026.276873221,0.91521141,0.03677289,1.0000044,g
61026.276884796,0.92203257,0.03788583,1.0000044,g
61026.276896371,0.80271846,0.03544102,1.0000044,g
61026.276907946,0.89160608,0.03613131,1.0000044,g
61026.276919521,1.00638551,0.03735088,1.0000044,g
61026.276931096,0.9780628,0.03709064,1.0000044,g
61026.276942671,0.94858822,0.03652237,1.0000044,g
61026.276954246,1.01284112,0.03750904,1.0000044,g
61026.27696582,0.98578394,0.03732899,1.0000044,g
61026.276977395,0.93781134,0.03631947,1.0000044,g
61026.27698897,1.02351858,0.03722172,1.0000044,g
61026.277000545,0.97529199,0.03686442,1.0000044,g
61026.27701212,0.99596999,0.03810741,1.0000044,g
61026.277023695,0.96232551,0.03708838,1.0000044,g
61026.27703527,0.93360463,0.03601401,1.0000044,g
61026.277046844,0.93197517,0.036059,1.0000044,g
61026.277058419,1.00594649,0.03705278,1.0000044,g
61026.277069994,1.01539876,0.03734014,1.0000044,g
61026.277081569,0.98604194,0.03734262,1.0000044,g
61026.277093144,0.98432305,0.03699803,1.0000044,g
61026.277104719,1.10647332,0.03894082,1.0000044,g
61026.277116294,1.02439762,0.03767962,1.0000044,g
61026.277127868,0.92189958,0.03749449,1.0000044,g
61026.277139443,0.95436642,0.03796052,1.0000044,g
61026.277151018,0.97114823,0.03817507,1.0000044,g
61026.277162593,1.00587191,0.03805261,1.0000044,g
61026.277174168,1.01240514,0.03803225,1.0000044,g
61026.277185743,0.97815384,0.03802218,1.0000044,g
61026.277197318,0.99523616,0.03868292,1.0000044,g
61026.277208893,1.08646102,0.04108345,1.0000044,g
61026.277220467,0.98296406,0.03908342,1.0000044,g
61026.277232042,0.95806482,0.03816842,1.0000044,g
61026.277243617,0.98673525,0.03948143,1.0000044,g
61026.277255192,0.99438945,0.03840286,1.0000044,g
61026.277266767,0.92824664,0.03746268,1.0000044,g
61026.277278342,0.91320361,0.03742238,1.0000044,g
61026.277289917,0.94731833,0.03750069,1.0000044,g
61026.277301491,0.96343794,0.03762864,1.0000044,g
61026.277313066,0.97834002,0.03842785,1.0000044,g
61026.277324641,0.99399741,0.03969546,1.0000044,g
61026.277336216,0.97522685,0.03842809,1.0000044,g
61026.277347791,0.90051998,0.03700741,1.0000044,g
61026.277359366,0.95350933,0.03796754,1.0000044,g
61026.277370941,0.95704416,0.03789012,1.0000044,g
61026.277382516,0.95522907,0.03730228,1.0000044,g
61026.27739409,0.94130188,0.03668586,1.0000044,g
61026.277405665,0.83979607,0.03556512,1.0000044,g
61026.27741724,1.07080613,0.03977766,1.0000044,g
61026.277428815,0.92570401,0.0374108,1.0000044,g
61026.27744039,1.01237784,0.03860894,1.0000044,g
61026.277451965,1.04360378,0.03891345,1.0000044,g
61026.27746354,1.00584006,0.03930847,1.0000044,g
61026.277475114,1.06780911,0.03844646,1.0000044,g
61026.277486689,1.01653822,0.03808346,1.0000044,g
61026.277498264,0.99788137,0.03759844,1.0000044,g
61026.277509839,0.98716659,0.03781727,1.0000044,g
61026.277521414,0.97299599,0.03786287,1.0000044,g
61026.277532989,0.98833439,0.03738027,1.0000044,g
61026.277544564,1.07296913,0.03921046,1.0000044,g
61026.277556139,1.02650143,0.03820002,1.0000044,g
61026.277567713,1.06705895,0.03858385,1.0000044,g
61026.277579288,1.04200412,0.03861185,1.0000044,g
61026.277590863,0.99160837,0.03697314,1.0000044,g
61026.277602438,0.9977731,0.03860978,1.0000044,g
61026.277614013,1.01888012,0.03956795,1.0000044,g
61026.277625588,1.02352633,0.03978152,1.0000044,g
61026.277637163,1.02558138,0.03911048,1.0000044,g
61026.277648737,1.03995952,0.03939186,1.0000044,g
61026.277660312,1.01444638,0.03902362,1.0000044,g
61026.277671887,0.97064416,0.03808617,1.0000044,g
61026.277683462,0.97845365,0.03813002,1.0000044,g
61026.277695037,0.99675593,0.03818173,1.0000044,g
61026.277706612,0.92269394,0.03644151,1.0000044,g
61026.277718187,0.93837408,0.03697338,1.0000044,g
61026.277729762,1.00088938,0.03798596,1.0000044,g
61026.277741336,1.00097842,0.03817831,1.0000044,g
61026.277752911,1.02711537,0.03873826,1.0000044,g
61026.277764486,1.09597094,0.0403983,1.0000044,g
61026.277776061,0.97335681,0.03824645,1.0000044,g
