bjd_tdb,flux_rel,flux_rel_err,filter,exptime_s
60033.15500951,1.038984,0.055898,g,24.000192
60033.15500951,0.88284,0.125887,i,24.000192
60033.15504457,1.059668,0.097058,u,24.000192
60033.15507963,0.980448,0.050324,g,24.000192
60033.15507963,1.276838,0.111841,i,24.000192
60033.15514976,1.126376,0.050439,g,24.000192
60033.15514976,0.979087,0.103423,i,24.000192
60033.15518482,1.036564,0.084579,u,24.000192
60033.15521989,0.999219,0.044851,g,24.000192
60033.15521989,1.244559,0.096668,i,24.000192
60033.15529001,0.985089,0.049537,g,24.000192
60033.15529001,0.909543,0.1037,i,24.000192
60033.15532508,1.01981,0.087778,u,24.000192
60033.15536014,0.974728,0.049187,g,24.000192
60033.15536014,1.056471,0.10582,i,24.000192
60033.15543027,1.025423,0.049673,g,24.000192
60033.15543027,0.874193,0.1089,i,24.000192
60033.15546533,0.866145,0.096423,u,24.000192
60033.15550039,0.921023,0.055018,g,24.000192
60033.15550039,1.131406,0.119959,i,24.000192
60033.15557052,1.018047,0.048612,g,24.000192
60033.15557052,0.971677,0.101291,i,24.000192
60033.15560558,1.099078,0.084271,u,24.000192
60033.15564065,0.97242,0.048585,g,24.000192
60033.15564065,0.854918,0.09412,i,24.000192
60033.15571077,1.023863,0.048277,g,24.000192
60033.15571077,0.76986,0.092478,i,24.000192
60033.15574584,1.039837,0.083271,u,24.000192
60033.1557809,0.91226,0.044718,g,24.000192
60033.1557809,0.977364,0.093034,i,24.000192
60033.15585103,0.923216,0.047653,g,24.000192
60033.15585103,0.828132,0.103635,i,24.000192
60033.15588609,1.003965,0.09205,u,24.000192
60033.15592116,0.96661,0.052829,g,24.000192
60033.15592116,0.866129,0.113373,i,24.000192
60033.15599128,0.884017,0.051109,g,24.000192
60033.15599128,0.844824,0.108344,i,24.000192
60033.15602635,0.786336,0.089579,u,24.000192
60033.15606141,0.875575,0.049144,g,24.000192
60033.15606141,1.076239,0.109094,i,24.000192
60033.15613154,0.907664,0.049389,g,24.000192
60033.15613154,0.831172,0.104606,i,24.000192
60033.1561666,0.879277,0.084263,u,24.000192
60033.15620166,0.959289,0.046923,g,24.000192
60033.15620166,0.778457,0.096985,i,24.000192
60033.15627179,0.881515,0.049487,g,24.000192
60033.15627179,0.98347,0.103722,i,24.000192
60033.15630685,0.841787,0.082219,u,24.000192
60033.15634192,0.937227,0.047403,g,24.000192
60033.15634192,0.919119,0.100094,i,24.000192
60033.15641204,0.805255,0.048459,g,24.000192
60033.15641204,0.690928,0.099521,i,24.000192
60033.15644711,0.744617,0.082165,u,24.000192
60033.15648217,0.808983,0.044021,g,24.000192
60033.15648217,0.770676,0.09025,i,24.000192
60033.1565523,0.722403,0.043982,g,24.000192
60033.1565523,0.77916,0.097992,i,24.000192
60033.15658736,0.723774,0.079591,u,24.000192
60033.15662242,0.677678,0.046856,g,24.000192
60033.15662242,0.825992,0.10293,i,24.000192
60033.15669255,0.657592,0.044685,g,24.000192
60033.15669255,0.701945,0.098524,i,24.000192
60033.15672761,0.577816,0.083661,u,24.000192
60033.15676268,0.597563,0.04843,g,24.000192
60033.15676268,0.526894,0.10537,i,24.000192
60033.1568328,0.65252,0.051326,g,24.000192
60033.1568328,0.426649,0.11051,i,24.000192
60033.15686787,0.372183,0.085615,u,24.000192
60033.15690293,0.548641,0.042163,g,24.000192
60033.15690293,0.576431,0.095701,i,24.000192
60033.15697306,0.540428,0.045572,g,24.000192
60033.15697306,0.564236,0.093855,i,24.000192
60033.15700812,0.499887,0.080041,u,24.000192
60033.15704318,0.626188,0.04399,g,24.000192
60033.15704318,0.444928,0.091365,i,24.000192
60033.15711331,0.595263,0.045254,g,24.000192
60033.15711331,0.664442,0.098064,i,24.000192
60033.15714837,0.658522,0.090873,u,24.000192
60033.15718344,0.57295,0.061113,g,24.000192
60033.15718344,0.832123,0.128598,i,24.000192
60033.15725356,0.722831,0.048451,g,24.000192
60033.15725356,0.762126,0.101823,i,24.000192
60033.15728863,0.741428,0.080839,u,24.000192
60033.15732369,0.744913,0.044804,g,24.000192
60033.15732369,0.790523,0.099835,i,24.000192
60033.15739382,0.799066,0.04684,g,24.000192
60033.15739382,0.879277,0.101637,i,24.000192
60033.15742888,0.732984,0.086805,u,24.000192
60033.15746394,0.824312,0.048267,g,24.000192
60033.15746394,0.907202,0.104866,i,24.000192
60033.15753407,0.886033,0.046894,g,24.000192
60033.15753407,0.918957,0.099505,i,24.000192
60033.15756913,1.110154,0.082225,u,24.000192
60033.1576042,0.90423,0.043968,g,24.000192
60033.1576042,1.136773,0.09374,i,24.000192
60033.15767432,0.997032,0.043572,g,24.000192
60033.15767432,0.925187,0.096688,i,24.000192
60033.15770939,1.085734,0.086076,u,24.000192
60033.15774445,0.969011,0.047637,g,24.000192
60033.15774445,0.892786,0.101323,i,24.000192
60033.15781458,1.087989,0.05296,g,24.000192
60033.15781458,0.969498,0.11698,i,24.000192
60033.15784964,1.079757,0.089532,u,24.000192
60033.1578847,1.001317,0.048537,g,24.000192
60033.1578847,1.307986,0.105266,i,24.000192
60033.15795483,1.0284,0.04502,g,24.000192
60033.15795483,1.051603,0.0961,i,24.000192
60033.15798989,1.038348,0.087126,u,24.000192
60033.15802496,1.083248,0.049607,g,24.000192
60033.15802496,1.11645,0.116494,i,24.000192
60033.15809508,1.033248,0.050416,g,24.000192
60033.15809508,0.911076,0.097379,i,24.000192
60033.15813015,1.095662,0.079971,u,24.000192
